date,pollutant,mean_value,neighborhood
2020-03-04,PM2.5,5.5,Washington Heights
2021-03-04,Ozone,0.037,Washington Heights
2021-03-04,PM2.5,6.9,Washington Heights
2022-03-04,Ozone,0.03,Washington Heights
2022-03-04,PM2.5,7,Washington Heights
2020-03-05,Ozone,0.032,Washington Heights
2020-03-05,PM2.5,5.85,Washington Heights
2021-03-05,Ozone,0.039,Washington Heights
2021-03-05,PM2.5,4.4,Washington Heights
2022-03-05,Ozone,0.031,Washington Heights
2022-03-05,PM2.5,9.45,Washington Heights
2020-03-06,Ozone,0.029,Washington Heights
2020-03-06,PM2.5,5.449999999999999,Washington Heights
2021-03-06,Ozone,0.035,Washington Heights
2021-03-06,PM2.5,4.7,Washington Heights
2022-03-06,Ozone,0.03,Washington Heights
2022-03-06,PM2.5,13.5,Washington Heights
2020-03-07,Ozone,0.037,Washington Heights
2020-03-07,PM2.5,5.15,Washington Heights
2021-03-07,Ozone,0.037,Washington Heights
2021-03-07,PM2.5,4.449999999999999,Washington Heights
2022-03-07,Ozone,0.037,Washington Heights
2022-03-07,PM2.5,11.55,Washington Heights
2020-03-08,Ozone,0.034,Washington Heights
2020-03-08,PM2.5,5.65,Washington Heights
2021-03-08,Ozone,0.041,Washington Heights
2021-03-08,PM2.5,6.65,Washington Heights
2022-03-08,Ozone,0.041,Washington Heights
2022-03-08,PM2.5,5.4,Washington Heights
2020-03-09,Ozone,0.037,Washington Heights
2020-03-09,PM2.5,11.1,Washington Heights
2021-03-09,PM2.5,9.45,Washington Heights
2022-03-09,Ozone,0.016,Washington Heights
2022-03-09,PM2.5,5,Washington Heights
2020-03-10,Ozone,0.03,Washington Heights
2020-03-10,PM2.5,10.95,Washington Heights
2021-03-10,Ozone,0.037,Washington Heights
2021-03-10,PM2.5,9.1,Washington Heights
2022-03-10,Ozone,0.029,Washington Heights
2022-03-10,PM2.5,8.85,Washington Heights
2020-03-11,Ozone,0.03,Washington Heights
2020-03-11,PM2.5,5.050000000000001,Washington Heights
2021-03-11,Ozone,0.035,Washington Heights
2021-03-11,PM2.5,20.15,Washington Heights
2022-03-11,Ozone,0.038,Washington Heights
2022-03-11,PM2.5,7.949999999999999,Washington Heights
2020-03-12,Ozone,0.021,Washington Heights
2020-03-12,PM2.5,7.15,Washington Heights
2021-03-12,Ozone,0.045,Washington Heights
2021-03-12,PM2.5,6.25,Washington Heights
2022-03-12,Ozone,0.039,Washington Heights
2022-03-12,PM2.5,4.45,Washington Heights
2020-03-13,Ozone,0.041,Washington Heights
2020-03-13,PM2.5,5.25,Washington Heights
2021-03-13,Ozone,0.039,Washington Heights
2021-03-13,PM2.5,3.5,Washington Heights
2022-03-13,Ozone,0.035,Washington Heights
2022-03-13,PM2.5,8.25,Washington Heights
2020-03-14,Ozone,0.035,Washington Heights
2020-03-14,PM2.5,5.050000000000001,Washington Heights
2021-03-14,Ozone,0.041,Washington Heights
2021-03-14,PM2.5,4.95,Washington Heights
2022-03-14,Ozone,0.034,Washington Heights
2022-03-14,PM2.5,9.2,Washington Heights
2020-03-15,Ozone,0.038,Washington Heights
2020-03-15,PM2.5,4.300000000000001,Washington Heights
2021-03-15,Ozone,0.038,Washington Heights
2021-03-15,PM2.5,4.449999999999999,Washington Heights
2022-03-15,Ozone,0.038,Washington Heights
2022-03-15,PM2.5,9.75,Washington Heights
2020-03-16,Ozone,0.033,Washington Heights
2020-03-16,PM2.5,4.7,Washington Heights
2021-03-16,Ozone,0.026,Washington Heights
2021-03-16,PM2.5,5,Washington Heights
2022-03-16,Ozone,0.044,Washington Heights
2022-03-16,PM2.5,12,Washington Heights
2020-03-17,Ozone,0.024,Washington Heights
2020-03-17,PM2.5,5.9,Washington Heights
2021-03-17,Ozone,0.02,Washington Heights
2021-03-17,PM2.5,7.1,Washington Heights
2022-03-17,Ozone,0.024,Washington Heights
2022-03-17,PM2.5,10.25,Washington Heights
2020-03-18,Ozone,0.033,Washington Heights
2020-03-18,PM2.5,5.9,Washington Heights
2021-03-18,Ozone,0.031,Washington Heights
2021-03-18,PM2.5,3.9,Washington Heights
2022-03-18,Ozone,0.035,Washington Heights
2022-03-18,PM2.5,9.25,Washington Heights
2020-03-19,Ozone,0.024,Washington Heights
2020-03-19,PM2.5,4.35,Washington Heights
2021-03-19,Ozone,0.037,Washington Heights
2021-03-19,PM2.5,5.6,Washington Heights
2022-03-19,Ozone,0.034,Washington Heights
2022-03-19,PM2.5,8.3,Washington Heights
2020-03-20,Ozone,0.037,Washington Heights
2020-03-20,PM2.5,8.65,Washington Heights
2021-03-20,Ozone,0.037,Washington Heights
2021-03-20,PM2.5,7.1,Washington Heights
2022-03-20,Ozone,0.033,Washington Heights
2022-03-20,PM2.5,2,Washington Heights
2020-03-21,Ozone,0.039,Washington Heights
2020-03-21,PM2.5,4,Washington Heights
2021-03-21,Ozone,0.039,Washington Heights
2021-03-21,PM2.5,8.649999999999999,Washington Heights
2022-03-21,Ozone,0.045,Washington Heights
2022-03-21,PM2.5,4.4,Washington Heights
2020-03-22,Ozone,0.039,Washington Heights
2020-03-22,PM2.5,5.949999999999999,Washington Heights
2021-03-22,Ozone,0.042,Washington Heights
2021-03-22,PM2.5,9.899999999999999,Washington Heights
2022-03-22,Ozone,0.044,Washington Heights
2022-03-22,PM2.5,3.8,Washington Heights
2020-03-23,Ozone,0.029,Washington Heights
2020-03-23,PM2.5,2.4000000000000004,Washington Heights
2021-03-23,Ozone,0.034,Washington Heights
2021-03-23,PM2.5,6.8,Washington Heights
2022-03-23,Ozone,0.029,Washington Heights
2022-03-23,PM2.5,3.35,Washington Heights
2020-03-24,Ozone,0.037,Washington Heights
2020-03-24,PM2.5,3.6,Washington Heights
2021-03-24,Ozone,0.017,Washington Heights
2021-03-24,PM2.5,5.25,Washington Heights
2022-03-24,Ozone,0.026,Washington Heights
2022-03-24,PM2.5,1.95,Washington Heights
2020-03-25,Ozone,0.033,Washington Heights
2020-03-25,PM2.5,5.15,Washington Heights
2021-03-25,Ozone,0.017,Washington Heights
2021-03-25,PM2.5,5.65,Washington Heights
2022-03-25,Ozone,0.032,Washington Heights
2022-03-25,PM2.5,4.65,Washington Heights
2020-03-26,Ozone,0.033,Washington Heights
2020-03-26,PM2.5,6.4,Washington Heights
2021-03-26,Ozone,0.046,Washington Heights
2021-03-26,PM2.5,5.8,Washington Heights
2022-03-26,Ozone,0.032,Washington Heights
2022-03-26,PM2.5,4.3,Washington Heights
2020-03-27,Ozone,0.042,Washington Heights
2020-03-27,PM2.5,5.800000000000001,Washington Heights
2021-03-27,Ozone,0.046,Washington Heights
2021-03-27,PM2.5,5.199999999999999,Washington Heights
2022-03-27,Ozone,0.033,Washington Heights
2022-03-27,PM2.5,3.9,Washington Heights
2020-03-28,Ozone,0.041,Washington Heights
2020-03-28,PM2.5,5.15,Washington Heights
2021-03-28,Ozone,0.035,Washington Heights
2021-03-28,PM2.5,3.7,Washington Heights
2022-03-28,Ozone,0.035,Washington Heights
2022-03-28,PM2.5,7.05,Washington Heights
2020-03-29,Ozone,0.039,Washington Heights
2020-03-29,PM2.5,2,Washington Heights
2021-03-29,Ozone,0.039,Washington Heights
2021-03-29,PM2.5,4.6,Washington Heights
2022-03-29,Ozone,0.035,Washington Heights
2022-03-29,PM2.5,7.25,Washington Heights
2020-03-30,Ozone,0.027,Washington Heights
2020-03-30,PM2.5,4.95,Washington Heights
2021-03-30,Ozone,0.044,Washington Heights
2021-03-30,PM2.5,5.7,Washington Heights
2022-03-30,Ozone,0.026,Washington Heights
2022-03-30,PM2.5,6.15,Washington Heights
2020-03-31,Ozone,0.035,Washington Heights
2020-03-31,PM2.5,2.05,Washington Heights
2021-03-31,Ozone,0.032,Washington Heights
2021-03-31,PM2.5,6.35,Washington Heights
2022-03-31,Ozone,0.034,Washington Heights
2022-03-31,PM2.5,15.55,Washington Heights
2020-04-01,Ozone,0.041,Washington Heights
2020-04-01,PM2.5,3.8,Washington Heights
2021-04-01,Ozone,0.034,Washington Heights
2021-04-01,PM2.5,3.8,Washington Heights
2022-04-01,Ozone,0.035,Washington Heights
2022-04-01,PM2.5,3.9,Washington Heights
2020-04-02,Ozone,0.038,Washington Heights
2020-04-02,PM2.5,3,Washington Heights
2021-04-02,Ozone,0.033,Washington Heights
2021-04-02,PM2.5,3.55,Washington Heights
2022-04-02,Ozone,0.04,Washington Heights
2022-04-02,PM2.5,4.75,Washington Heights
2020-04-03,Ozone,0.03,Washington Heights
2020-04-03,PM2.5,2.55,Washington Heights
2021-04-03,Ozone,0.039,Washington Heights
2021-04-03,PM2.5,3.5999999999999996,Washington Heights
2022-04-03,Ozone,0.034,Washington Heights
2022-04-03,PM2.5,5.35,Washington Heights
2020-04-04,Ozone,0.036,Washington Heights
2020-04-04,PM2.5,3.05,Washington Heights
2021-04-04,Ozone,0.043,Washington Heights
2021-04-04,PM2.5,7.75,Washington Heights
2022-04-04,Ozone,0.038,Washington Heights
2022-04-04,PM2.5,3.95,Washington Heights
2020-04-05,Ozone,0.026,Washington Heights
2020-04-05,PM2.5,9.25,Washington Heights
2021-04-05,Ozone,0.05,Washington Heights
2021-04-05,PM2.5,6.199999999999999,Washington Heights
2022-04-05,Ozone,0.04,Washington Heights
2022-04-05,PM2.5,5.8,Washington Heights
2020-04-06,Ozone,0.04,Washington Heights
2020-04-06,PM2.5,3.9000000000000004,Washington Heights
2021-04-06,Ozone,0.049,Washington Heights
2021-04-06,PM2.5,6.75,Washington Heights
2022-04-06,Ozone,0.032,Washington Heights
2022-04-06,PM2.5,2.4,Washington Heights
2020-04-07,Ozone,0.046,Washington Heights
2020-04-07,PM2.5,4.85,Washington Heights
2021-04-07,Ozone,0.041,Washington Heights
2021-04-07,PM2.5,5.699999999999999,Washington Heights
2022-04-07,Ozone,0.037,Washington Heights
2020-04-08,Ozone,0.037,Washington Heights
2020-04-08,PM2.5,8.4,Washington Heights
2021-04-08,Ozone,0.033,Washington Heights
